AW.UN,"A&W Revenue Rylty Un"
IDG,"Indigo Books & Music"
IAG,"Indstrl Alliance Ins"
IAG.PR.A,"Indstrl AlliancePr B"
IAG.PR.G,"Indstrl AlliancePr G"
ISV,"Info Serv Corp. A LV"
INE,"Innergex Renew Engy"
INE.DB.A,"Innergex Renew4.25Db"
INE.PR.A,"Innergex Renew Pr A"
INE.PR.C,"Innergex Renew Pr C"
INO.UN,"Inovalis REIT Un"
IPO,"InPlay Oil Corp. J"
INQ,"INSCAPE Corp Cl B SV"
IFC,"Intact Fin Corp."
IFC.PR.A,"Intact Fin A Ser 1"
IFC.PR.C,"Intact Fin A Ser 3"
IFC.PR.D,"Intact Fin A Ser 4"
IFC.PR.E,"Intact Fin A Ser 5"
IFC.PR.F,"Intact Fin A Sr 6 Pr"
IAM,"Integrated Asset Mgt"
IPCI,"IntelliPharma Intl J"
IPL,"Inter Pipeline Ltd."
IFP,"Interfor Corporation"
IMP,"Intermap Technology"
IPCO,"Int'l Pete Corp."
ITH,"Int'l Tower Hill J"
IIP.UN,"InterRent REIT Un J"
ITP,"Intertape Polymer"
ITC,"Intrinsyc Tech J"
INV,"INV Metals Inc. J"
IFB.UN,"Invest GrdInfrBnd Un"
PFU.UN,"Invest GradeMngDur T"
CBH,"iShre 1-10CorpBnd Un"
CBH.A,"iShre 1-10CorpBnd Ad"
CLG,"iShre 1-10GovtBnd Un"
CLG.A,"iShre 1-10GovtBnd Ad"
CBO,"iShre 1-5 CorpBnd Un"
CBO.A,"iShre 1-5CorpBnd Ad"
CLF,"iShre 1-5 GovtBnd Un"
CLF.A,"iShre 1-5 GovtBnd Ad"
CBN,"iShares GrowCore Un"
CBN.A,"iShares GrowCore Adv"
CBD,"iShares IncmCore Un"
CBD.A,"iShares IncmCore Adv"
XCB,"iShares Cdn Corp Bnd"
FIE,"iShares CdnFinMo Un"
FIE.A,"iShares CdnFinMo Adv"
XGB,"iShares Cdn Govt Bnd"
XCG,"iShares Cdn Growth"
XHB,"iShare Cdn HYBrd Bnd"
XRB,"iShare Cdn RlRet Bnd"
XDV,"iShares Cdn Slct Div"
XCV,"iShares Cdn Value Un"
XCH,"iShares China Index"
XSC,"iShr Consv ShStgyFxd"
XSE,"iShr Consv Stgy Incm"
CVD,"iShares ConvBond Un"
CVD.A,"iShares ConvBond Adv"
XLB,"iShr CoreCdnLT BndUn"
XSB,"iShre Cdn Sh Trm Bnd"
XSH,"iShr CoreCdnShMplBnd"
XBB,"iShr Cdn Univers Bnd"
XAW,"iShr CoreMSCI AC Wex"
XDIV,"iShare CorMSCICdnDiv"
XEF,"iShr CorMSCIEAFE IMI"
XFH,"iShrCrMSCI EAFEIMIHG"
XEC,"iShr Core EmrgMktIMI"
XDG,"iShr CorMSCI GlblDiv"
XDGH,"iShr CorGlbDivCA-Heg"
XDU,"iShr CoreMSCI US Div"
XDUH,"iShrCorUS DivCADHg"
XUS,"iShares CoreSP500Idx"
XSP,"iShares Core S&P 500"
XUU,"iShr CorS&P US MktUn"
XUH,"iShre CoreS&P US Mkt"
XIC,"iShr CoreSP/TSX Comp"
XTR,"iShare Divrs Mo Incm"
XMV,"iShr MSCI MinVolCda"
XMI,"iShare MSCIMinVlEAFE"
XML,"iShr EgMinVlEAFE C-H"
XMM,"iShr MinVol EmrgMkt "
XMW,"iShr MSCI MinVolGlbl"
XMY,"iShr EgMinVolGlb C-H"
XMU,"iShr MSCI MinVol USA"
XMS,"iShr EgMinVl USA C-H"
XFC,"iShr MSCIMultfactrCA"
XFI,"iShr MSCIMultfacEAFE"
XFF,"iShr MSCI EAFE CA-HG"
XFS,"iShrMSCIMultiftr USA"
XFA,"iShrMSCIMultiUSA C-H"
CEW,"iShares EqWeight Un "
CEW.A,"iShares EqWeight Adv"
XFR,"iShares Fltg Rate Un"
COW,"iShares GlblAgri Un"
COW.A,"iShares GlblAgri Adv"
XHC,"iShare Glbl Hlthcare"
CIF,"iShares GlbInfras Un"
CIF.A,"iShare GlbInfras Adv"
CYH,"iShares GlblMoDiv Un"
CYH.A,"iShares GlblMoDiv Ad"
CGR,"iShares GlblRlEst Un"
CGR.A,"iShare GlblRlEst Adv"
CWW,"iShares GlblWater Un"
CWW.A,"iShares GlbWater Adv"
CGL,"iShare GldBulHdgd Un"
CGL.C,"iShare GldBul Nn-Hdg"
XQB,"iShare HighCdnBnd Un"
XQB.A,"iShare HighCdnBnd Ad"
XID,"iShares India Idx Un"
XEB,"iShr JP USD Emrg Mkt"
XEN,"iShare Jantzi Social"
XIN,"iShare MSCI EAFE Idx"
XEM,"iShare MSCI EmergMkt"
XEU,"iShr MSCI EU IMI Idx"
XEH,"iShr MSCI EU IMI CAD"
XWD,"iShare MSCI World Un"
XQQ,"iShare NASDAQ 100 Un"
CMR,"iShares MoneyMkt Un"
CMR.A,"iShares MoneyMkt Adv"
XCD,"iShare S&P CnsmrDscr"
XGI,"iShr SP Glbl Indstrl"
XMC,"iShr S&P US MidCapUn"
XMH,"iShr S&P USMdCpCADHG"
XIU,"iShares S&P/TSX60 Un"
CDZ,"iShr CdnDivAristo Un"
CDZ.A,"iShare CdnDivAristAd"
CPD,"iShares CdnPref Un"
CPD.A,"iShares CdnPref Adv"
XST,"iShares Consumr Stpl"
XEG,"iShares S&P/TSX Engy"
XFN,"iShares S&P/TSX Fins"
XIT,"iShares S&P/TSX Tech"
XMA,"iShare S&P/TSX Matrl"
XRE,"iShares S&P/TSX REIT"
XUT,"iShares S&P/TSX Util"
XMD,"iShr S&P/TSX Cmpletn"
XEI,"iShr S&P/TSX HiDivUn"
XBM,"iShr SP/TSXGblBseMtl"
XGD,"iShares S&P/TSX Gold"
XPF,"iShr S&PTSX NA PrStk"
XCS,"IShare SP/TSX SmlCap"
CSD,"iShr ShDuratn HighUn"
CSD.A,"iShr ShDuratn HighAd"
XSQ,"iShares ST CdnBnd Un"
XSI,"iShr ST StratgFxd Un"
SVR,"iShr Sil Bul Hdgd Un"
SVR.C,"iShr Sil Bul Nn-Hdgd"
XHU,"iShr US HiDiv EqtyUn"
XHD,"iShare US HighDiv Eq"
XHY,"iShares US HiYld Bnd"
CHB,"iShr US HiYldIncm Un"
CHB.A,"iShr US HiYldIncm Ad"
XIG,"iShare US IG CorpBnd"
XSU,"iShares US Small Cap"
CUD,"iShare US DivGrow Un"
CUD.A,"iShare US DivGro Adv"
IVN,"Ivanhoe Mines Cl A J"
IGCF,"PIMCO InvGrdCreditCA"
ILV,"PwrShr S&PIntl LwVol"
IDR.UN,"REIT INDEXPLUS Tr Un"
ITX,"Intertain Grp Exch J"
ITX.DB,"Intertain Grp 5%Db J"
IFL.UN,"Voya DivrFltgLoan Un"
ISL.U,"Voya FltgRt Sr US Un"
ISL.UN,"Voya FltgRte Sr A Un"
IQD,"WisdomTreeIntlDivHeg"
IQD.B,"WisdomTreeIntlDvNN-H"
JAG,"Jaguar Mining Inc. J"
JWEL,"Jamieson Wellness"
PJC.A,"Jean Coutu Group SV"
JFS.UN,"JFT Strategies A Un"
JOY,"Journey Energy Inc."
CBT.UN,"June 2020CorpBnd 'T'"
RBP.UN,"June2021 Invst CL T "
JE,"Just Energy Group "
JE.DB.B,"Just Engy Grp 5.75Db"
JE.DB.C,"Just Engy Grp 6.75Db"
JE.PR.U,"Just Energy 8.5Pr US"
KOR,"Corvus Gold Inc. J"
KWH.UN,"Crius Energy Tr Un"
KBL,"K-Bro Linen Inc."
KRN,"Karnalyte Res J"
KAT,"Katanga Mining Ltd."
KEG.UN,"Keg Royalties Fnd Un"
KLS,"Kelso Technologies"
KEL,"Kelt Expl Ltd. J"
KEL.DB,"Kelt Expl 5% Deb J"
KER,"Kerr Mines Inc. J"
KEW,"Kew Media Cl B"
KEW.WT,"Kew Media Group Wt"
KEY,"Keyera Corp."
KMP.UN,"Killam Apt REIT Un J"
KXS,"Kinaxis Inc. J"
KML,"Kinder Morgan Cda RV"
KML.PR.A,"Kinder Morgan Sr1 Pr"
KFS,"Kingsway Financial"
KFS.WT.V,"Kingsway Fin B Wt US"
K,"Kinross Gold Corp."
KLG.DB.A,"Kirklnd Lake 7.5Db J"
KL,"Kirkland Lake Gold J"
KDX,"Klondex Mines Ltd. J"
GUD,"Knight Therapeutics"
KPT,"KP Tissue Inc."
LCS,"Brompton Life Splt A"
LCS.PR.A,"Brompton LifeSplt Pr"
LFE,"Cdn Life Co Split A"
LFE.PR.B,"Cdn Life CoSplt Pr12"
LIF,"Labrador Iron Ore"
LRT.DB.G,"Lanesborough Sr G Db"
LRT.UN,"Lanesborough Tr Un J"
LAM,"Laramide Resources J"
LGO,"Largo Resources J"
LAS.A,"Lassonde Ind Cl A SV"
LB,"Laurentian Bk of Can"
LB.PR.F,"Laurentian Bk Pr 11"
LB.PR.H,"Laurentian Bk Pr 13"
LB.PR.J,"Laurentian Bk Pr 15"
LFX,"LeadFX Inc. J"
LMC,"Leagold Mng Corp. J"
LNF,"Leon's Furniture Ltd"
LNF.DB,"Leon's Furniture Db"
LVN,"Levon Resources J"
LGD,"Liberty Gold Inc. J"
LGD.WT,"Liberty Gold J Wt"
LBS,"Life & Banc Split A"
LBS.PR.A,"Life & Banc Split Pr"
PFD.U,"Ltd DuratnInvstGrdUS"
PFD.UN,"Ltd DuratnInvstGrd"
LNR,"Linamar Corporation"
LIQ,"Liquor Stores NA Ltd"
LIQ.DB.B,"Liquor Stores 4.7%Db"
LAC,"Lithium Americas J"
L,"Loblaw Companies Ltd"
L.PR.B,"Loblaw Co. Ser B Pr"
MBB.UN,"LOGiQ Advan Bond Un"
AOG.UN,"LOGiQ Advan O&G Un"
AV.UN,"LOGiQ Advan VIP Un"
LGQ,"Logiq Asset Mgt J"
LGQ.DB.A,"Logiq Asst Mgt7%Db J"
VIP.UN,"LOGiQ VIP Incm Un"
LGT.A,"Logistec Corp. A MV "
LGT.B,"Logistec Corp Cl B"
LN,"Loncor Resources J"
LOW.UN,"LowVolatlty CdnEq Un"
LVU.UN,"Low Voltlty US Eq Un"
LUC,"Lucara Diamond J"
LUG,"Lundin Gold Inc. J"
LUN,"Lundin Mining Corp"
LXR,"LXRandCo, Inc. J B"
LXR.WT,"LXRandCo, Inc. J Wt"
LYD,"Lydian Int'l Ord J"
LYD.WT,"Lydian Int'l Wt J"
PR,"Lysander-SlatrPrActv"
LEAF,"MedReleaf Corp."
LS.UN,"Middlefld Hlth&LfeUn"
MBA,"CIBT Education Grp J"
MIN,"Excelsior Mining J"
MXF,"1stAsset Material Un"
MIC,"Genworth MI Canada"
MDS.UN,"Healthcare SpecOp Un"
MBB.UN,"LOGiQ Advan Bond Un"
XMF.A,"M Split Corp. 14 Cap"
XMF.PR.B,"M Split Corp Cl 1 Pr"
XMF.PR.C,"M Split Corp 14-2 Pr"
MKB,"Mackenzie CAFxIncm E"
MGB,"Mackenzie GlbFxIncmE"
MFT,"Mackenzie FltgRate E"
MKZ.UN,"MacKenzie Master Un"
MXU,"Mackenzie AlWrl NA E"
MWD,"MackenzieMaxDvr AW E"
MKC,"Mackenzie MaxDvrCA E"
MEU,"MackenzieMaxDvrEur E"
MEE,"Mackenzie EmrgMkts E"
MUS,"Mackenzie MaxDvrUS E"
MUB,"Mackenzie Uncnstrn E"
MQI.UN,"Macquari GlbInfrasUn"
MPC,"Madison Pacific Cl B"
MPC.C,"Madison Pacific NV C"
MAG,"MAG Silver Corp. J"
MAL,"Magellan Aerospace"
MG,"Magna Int'l Inc."
MEQ,"Mainstreet Equity J"
HLP.DB.U,"Mainstreet Hlth USDb"
HLP.U,"Mainstreet Hlth USF"
MDI,"Major Drilling Group"
MND,"Mandalay Res Corp J"
MFC,"Manulife Financial"
MFC.PR.B,"Manulife Fin Sr 2 Pr"
MFC.PR.C,"Manulife Fin A Pr 3"
MFC.PR.F,"Manulife Fin Sr 3 Pr"
MFC.PR.G,"Manulife Fin Sr 5 Pr"
MFC.PR.H,"Manulife Fin Sr 7 Pr"
MFC.PR.I,"Manulife Fin Sr 9 Pr"
MFC.PR.J,"Manulife Fin Sr11 Pr"
MFC.PR.K,"Manulife Fin Sr13 Pr"
MFC.PR.L,"Manulife Fin Sr15 Pr"
MFC.PR.M,"Manulife Fin Sr17 Pr"
MFC.PR.N,"Manulife Fin Sr19 Pr"
MFC.PR.O,"Manulife Fin Sr21 Pr"
MFC.PR.P,"Manulife Fin Sr 4 Pr"
MFC.PR.R,"Manulife Fin Sr23 Pr"
MFR.UN,"Manulife FltgRtLn Un"
MCLC,"Manulfe MltCdnLrgUnh"
MINT,"Manulfe MltDevInt Un"
MINT.B,"Manulfe MltDevIntUnh"
MULC,"Manulfe MltUSLrgCpHg"
MULC.B,"Manulf MltUSLrgCpUnh"
MUMC,"Manulfe MultUS MidHg"
MUMC.B,"Manulfe MultUSMdUnhg"
MBK.UN,"Manulife US Regnl Un"
MFI,"Maple Leaf Foods Inc"
MOZ,"Marathon Gold Corp J"
MIF.UN,"Marquest Cdn Eqty Un"
MAR,"Marret Resource J"
MRE,"Martinrea Int'l Inc."
MNR,"Mason Res Corp. J"
MAW,"Mawson Resources J"
MAXR,"Maxar Technologies"
MXG,"Maxim Power Corp."
MBN,"MBN Corporation Eqty"
MKP,"MCAN Mortgage Corp."
MCB,"McCoy Global Inc."
MUX,"McEwen Mining Inc. J"
MDF,"Mediagrif Interactv"
DR,"Medical Facilities"
DR.DB.A,"Medical Fac 5.9% Deb"
MDNA,"Medicenna Therapeu J"
LEAF,"MedReleaf Corp."
MEG,"MEG Energy Corp."
MGA,"Mega Uranium Ltd. J"
MRD,"Melcor Developments"
MR.DB,"Melcor REIT 5.5 Deb"
MR.UN,"Melcor REIT Un"
MERC.U,"Mercer Int'l Inc. US"
MX,"Methanex Corporation"
MRU,"Metro Inc."
MBX,"Microbix Biosystms J"
MAX,"Midas Gold Corp. J"
RCO.UN,"Middlefld Can-Glb Un"
LS.UN,"Middlefld Hlth&LfeUn"
HWF.UN,"Middlefld HealthcrUn"
MSV,"Minco Silver Corp J"
MID.UN,"MINT Incme Fnd Tr Un"
MNW,"Mitel Networks Corp."
MOGO,"Mogo Finance Tech J"
MOGO.DB,"Mongo Fin Tech J Deb"
TPX.A,"MolsonCoors Cda A LV"
TPX.B,"MolsonCoors Cda B NV"
MLD.UN,"Moneda LatAm CorpBnd"
ME,"Moneta Porcupine J"
MRC,"Morguard Corporation"
MRG.DB,"Morguard NA REIT Deb"
MRG.UN,"Morguard NA REIT UN"
MRT.DB,"Morguard REIT 4.5Deb"
MRT.UN,"Morguard Real Est Un"
MSI,"Morneau Shepell Inc."
MSI.DB.A,"Morneau Shepl 4.75Db"
MPVD,"Mountain Province J"
MTY,"MTY Food Group Inc."
MTL,"Mullen Group Ltd."
MMP.UN,"Precious Mtl&Mine Un"
MNT,"Ry Cdn Mint-Gold ETR"
MNT.U,"Ry Cdn Mint-Gold USF"
MNS,"Ry Cdn Mint-Sil ETR"
MNS.U,"Ry Cdn Mint-Sil USF"
NXF,"1stAstEngyGiantCovUn"
NXF.B,"1stAstEngyGiatUnhgUn"
NCD.UN,"1st AsstNA AdvanConv"
NAF.UN,"Global Cap Sec A Un"
NPC,"NAPEC Inc. J"
NA,"Nat'l Bank of Canada"
NA.PR.A,"Nat'l Bank Ser 36 Pr"
NA.PR.C,"Nat'l Bank Ser 38 Pr"
NA.PR.Q,"Nat'l Bank Ser 28 Pr"
NA.PR.S,"Nat'l Bank Ser 30 Pr"
NA.PR.W,"Nat'l Bank Ser 32 Pr"
NA.PR.X,"Nat'l Bank Ser 34 Pr"
NUS,"Nautilus Minerals J"
NGI.UN,"NDX Growth&Incm A Un"
NMX,"Nemaska Lithium Inc."
NMX.WT,"Nemaska Lithium Wt"
NVCN,"Neovasc Inc. J"
NEPT,"Neptune Tech & Bio J"
NLN,"NeuLion, Inc. J"
NCU,"Nevada Copper Corp J"
NSU,"Nevsun Resources J"
NFI,"New Flyer Industries"
NGD,"New Gold Inc."
BCI,"New Look Vision J"
NML,"New Millenm Iron J"
NAL,"Newalta Corporation"
NCA,"NewCastle Gold Ltd J"
NCC.A,"Nfld Capital Cl A SV"
NCC.B,"Nfld Capital Cl B MV"
NEW.A,"Newgrowth Cl A Cap"
NEW.PR.D,"Newgrowth Corp. Pr 3"
NXC,"NexC Partners Corp A"
NXE,"NexGen Energy Ltd. J"
NXJ,"NexJ Systems Inc. J"
NEXT,"NextSource Materl J"
NGQ,"NGEx Resources Inc J"
NHK,"Nighthawk Gold J"
NKO,"Niko Resources"
NKO.NT,"Niko Resources 7% Nt"
NB,"NioCorp Dev Ltd. J"
NIF.UN,"Noranda Incm PriorUn"
OSB,"Norbord Inc."
NOA,"N.A. Energy Partners"
NOA.DB,"N.A. Energy Part Deb"
FFN,"NA Fin 15 Split A "
FFN.PR.A,"NA Fin 15 Split 2 Pr"
PDL,"N.A. Palladium Ltd."
NPF.UN,"Nth American Pref Un"
NCF,"Northcliff Res Ltd J"
NDM,"Nthrn Dynasty Min J"
NDM.WT.A,"Nthrn Dynasty Wt J A"
NDM.WT.B,"Nthrn Dynasty Wt J B"
NPS,"Nthn Power Systems J"
NPI,"Northland Power Inc."
NPI.DB.B,"Northland Pwr 5% Deb"
NPI.DB.C,"Northland Pwr 4.75Db"
NPI.PR.A,"Northland Pwr Pr 1"
NPI.PR.B,"Northland Pwr Pr 2"
NPI.PR.C,"Northland Pwr Pr 3"
NVU.DB,"Nthview Apt REIT Db"
NVU.UN,"Nthview Apt REIT Un"
NWH.DB,"NW Healthcare Deb"
NWH.DB.A,"NW Healthcare 6.5%Db"
NWH.DB.B,"NW Healthcare 7.5%Db"
NWH.DB.C,"NW Healthcare7.25%Db"
NWH.DB.D,"NW Healthcare 5.5%Db"
NWH.DB.E,"NW Healthcare31JulDB"
NWH.DB.F,"NW Healthcare31DecDB"
NWH.UN,"NW Healthcare Un"
NG,"NovaGold Resources J"
NVA,"NuVista Energy Ltd."
NRI,"Nuvo Pharmaceuticals"
SFD,"NXT Energy Solutn J"
SFD.RT,"NXT EnergySoltn Rt J"
NRGY.UN,"Sprott Engy OppTr Un"
NWC,"NW Company VarV&ComV"
NPK,"Verde Agritech Plc J"
ORA,"Aura Minerals Inc. J"
OSP,"Brompton Oil Splt A"
OSP.PR.A,"Brompton Oil Splt Pr"
OXF,"1stAsset EngyCall Un"
OSB,"Norbord Inc."
OBE,"Obsidian Energy Ltd"
OGC,"OceanaGold Corp."
OCS.UN,"OCP Credit Stgy Un"
OSL.UN,"OCP Senior Credit Un"
OSF.UN,"Oil Sands Sector Un"
OLY,"Olympia Fin Group"
ONC,"Oncolytics Biotech"
ONC.WT,"Oncolytic Biotech Wt"
ONEX,"Onex Corporation SV"
OTEX,"Open Text Corp"
OPS,"Opsens Inc. J"
OGD,"Orbit Garant Drill"
ORL,"Orocobre Ltd. Ord J"
OMI,"Orosur Mining Inc."
ORV,"Orvana Minerals J"
OXC,"Oryx Pete Corp. J"
OR,"Osisko Gld Royalty"
OR.WT,"Osisko Gold Rlty Wt"
OR.WT.A,"Osisko Gld Rlty Wt A"
OSK,"Osisko Mining Inc. J"
OSK.WT,"Osisko Mining J Wt"
PXX,"BlackPearl Res Inc J"
PFT.UN,"Cdn Preferred Shr Un"
PBY.UN,"Canso Credit A Un"
PATH,"CounterPath Corp. J"
PMTS,"CPI Card Group Inc."
PCF.U,"Energy Credit Opp U"
PCF.UN,"Energy Credit Opp A"
PFU.UN,"Invest GradeMngDur T"
PJC.A,"Jean Coutu Group SV"
PFD.U,"Ltd DuratnInvstGrdUS"
PFD.UN,"Ltd DuratnInvstGrd"
PR,"Lysander-SlatrPrActv"
PDL,"N.A. Palladium Ltd."
PONY,"Painted Pony Engy J"
PAAS,"Pan American Silver"
POU,"Paramount Res Cl A"
PXT,"Parex Resources J"
PLC,"Park Lawn Corp."
PKI,"Parkland Fuel Corp."
PAR.DB.B,"Partners REIT 5.5 Db"
PAR.UN,"Partners REIT Un"
PVS.PR.B,"Partners Val AA Pr 3"
PVS.PR.C,"Partners Val AA Pr 5"
PVS.PR.D,"Partners Val AA Pr 6"
PVS.PR.E,"Partners Val AA Pr 7"
PVS.PR.F,"Partners Val AA Pr 8"
PSI,"Pason Systems Inc."
PCD.UN,"Pathfinder Income Un"
PEGI,"Pattern Energy Grp A"
PPL,"Pembina Pipeline"
PPL.DB.F,"Pembina Pipe5.75Db F"
PPL.PR.A,"Pembina Pipe Sr 1 Pr"
PPL.PR.C,"Pembina Pipe Sr 3 Pr"
PPL.PR.E,"Pembina Pipe Sr 5 Pr"
PPL.PR.G,"Pembina Pipe Sr 7 Pr"
PPL.PR.I,"Pembina Pipe Sr 9 Pr"
PPL.PR.K,"Pembina Pipe Pr 11"
PPL.PR.M,"Pembina Pipe Pr 13"
PPL.PR.O,"Pembina Pipe Pr 15"
PPL.PR.Q,"Pembina Pipe Pr 17"
PPL.PR.S,"Pembina Pipe Pr 19"
PGF,"Pengrowth Energy "
PGD,"Peregrine Diamonds J"
PMT,"Perpetual Energy Inc"
PRU,"Perseus Mining Ord J"
PGLC,"Pershing Gold Corp J"
PRQ,"Petrus Resources J"
PEY,"Peyto Expl & Dev "
PFB,"PFB Corporation"
PHX,"PHX Energy Services"
PMB.UN,"Picton Mahoney A Un"
PGI.UN,"PIMCO Gbl IncmOpp Un"
IGCF,"PIMCO InvGrdCreditCA"
PMIF,"PIMCO MthlyIncmETFUn"
PNE,"Pine Cliff Energy J"
PRF.UN,"PineBrdge InvGrd Sec"
PNP,"Pinetree Capital J"
PTG,"Pivot Tech Solutn J"
PZA,"Pizza Pizza Royalty"
PTM,"Platinum Grp Metal J"
PLZ.DB.D,"Plaza RetailTr5.75Db"
PLZ.UN,"Plaza Retail REIT Un"
PTS,"Points Int'l Ltd. J"
PIF,"Polaris Infras J"
PLS,"Polaris Materials J"
PBL,"Pollard Banknote Ltd"
POM,"Polymet Mining J"
PAY,"Posera Ltd. J"
PNC.A,"Postmedia Ntwrk C J"
PNC.B,"Postmedia Ntwrk VV J"
POT,"Potash Corp of Sask"
PRK,"Potash Ridge Corp. J"
POW,"Power Corp of Cda SV"
POW.PR.A,"Power Corp 5.6% Pr A"
POW.PR.B,"Power Corp 5.35% Pr"
POW.PR.C,"Power Corp 5.80% Pr"
POW.PR.D,"Power Corp 5.00% Pr"
POW.PR.E,"Power Corp Part. Pr"
POW.PR.F,"Power Corp Sr861stPr"
POW.PR.G,"Power Corp 5.6% Pr G"
PWF,"Power Financial Corp"
PWF.PR.A,"Power Financial Pr A"
PWF.PR.E,"Power Financial Pr D"
PWF.PR.F,"Power Fin 5.25% Pr E"
PWF.PR.G,"Power Fin 5.90% Pr F"
PWF.PR.H,"Power Fin 5.75% Pr H"
PWF.PR.I,"Power Fin 6% Pr I"
PWF.PR.K,"Power Fin 4.95% Pr K"
PWF.PR.L,"Power Fin 5.10% Pr L"
PWF.PR.O,"Power Fin 5.80% Pr O"
PWF.PR.P,"Power Fin 4.40% Pr P"
PWF.PR.Q,"Power Financial Pr Q"
PWF.PR.R,"Power Fin 5.50% Pr R"
PWF.PR.S,"Power Fin 4.80% Pr S"
PWF.PR.T,"Power Fin 4.20% Pr T"
PWF.PR.Z,"Power Fin 5.15% Pr V"
PFL,"PwrShr 1-3Yr LadFltg"
PSB,"PwrShares CorpBnd Un"
PDC,"PwrShares Cdn Div Un"
PPS,"PwrShares Cdn Pr Un"
PXC,"PwrShr FTSE RAFI Cdn"
PZC,"PwrShrFTSE CA Sml-Md"
PZW,"PwrShr FTSERAF GlbCA"
PZW.U,"PwrShr FTSERAF GlbUS"
PXG,"PwrShrFTSE Glb+Fndmn"
PXG.U,"PwrShrFTSE Glb+FndUS"
PXU.F,"PwrShrFTSE US CA$Heg"
PXS,"PwrShrFTSE USFnd2 CA"
PXS.U,"PwrShrFTSE Fndmnt2US"
PFH.F,"PwrShr CorpBndCA$Heg"
PSY,"PwrShr Glb ShrhldrCA"
PSY.U,"PwrShr Glb ShrhldrUS"
USB,"PwrShr LddrRtUS0-5Yr"
USB.U,"PwrShr LddrRtO-5YrUS"
PLV,"PwrShr LowVolPortfl"
QQC.F,"PowrShares QQQ CA$Hg"
ULV.C,"PwrShr500 LowVol CA"
ULV.F,"PwrShr500 LowVolCAHg"
ULV.U,"PwrShr500 LowVol USF"
ELV,"PwrShr S&P EmrgMkts"
ILV,"PwrShr S&PIntl LwVol"
TLV,"PowrShr LowVltlty Un"
REIT,"PowerShr REIT IncmCA"
BKL.C,"PowerShare SnrLoanCA"
BKL.F,"PwrShr SrLoan CAheg)"
BKL.U,"PowerShare SnrLoanUS"
PTB,"Powershr TactBond Un"
PGL,"PwrShr Ultr LiqLTGvt"
PPR,"Prairie Provident J"
PPR.WT,"Prairie Provdnt Wt J"
PSK,"PrairieSky Royalty"
MMP.UN,"Precious Mtl&Mine Un"
PD,"Precision Drill Corp"
PG,"Premier Gold Mines J"
PBH,"Premium Brands Hldgs"
PBH.DB.D,"Premium Brand 5% Deb"
PBH.DB.E,"Premium Brand 4.65Db"
PBH.DB.F,"Premium Brand 4.6 Db"
PIC.A,"Premium Income Cl A"
PIC.PR.A,"Premium Income Pr"
PVG,"Pretium Resources J"
PDV,"Prime Dividend Cl A "
PDV.PR.A,"Prime Dividend Pr"
P,"Primero Mining Corp."
P.DB.V,"Primero Mng 5.75USDb"
P.WT.C,"Primero Mining Wt"
PLI,"Prometic Life J"
PMN,"ProMIS Neurosci J"
PCY,"Prophecy Dev Corp. J"
PSD,"Pulse Seismic Inc."
AAR.UN,"Pure Industrial Un"
PUR,"Pure Tech Ltd. J"
PBI,"Purpose Best Ideas"
PBI.B,"Purpose Best NnCurHg"
BNC,"Purpose Cdn Fin Incm"
PRP,"Purpose Conserv Incm"
PDF,"Purpose Core Div Fnd"
PRA,"Purpose DiversRl Ast"
PHR,"Purpose Duratn HgREF"
PEU,"Purpose Enhnc US Eq"
PEU.B,"Purpose EnhncUSNnCur"
PSA,"Purpose High IntSvgs"
PID,"Purpose Intl Div Un"
PHW,"Purpose Intl TacHgEq"
PIN,"Purpose Monthly Incm"
PMM,"Purpose Mult-StgyNeu"
PYF,"Purpose Prem Yld ETF"
SBND,"Purpose SH DurTacBnd"
PHE,"Purpose Tact Hegd Eq"
PHE.B,"Purpose TacHg NN-Cur"
BND,"Purpose TacInvestBnd"
PBD,"Purpose Tot Ret Bond"
PSU.U,"Purpose US Cash USF"
PUD,"Purpose US DivETF Un"
PUD.B,"Purpose US Div NnCur"
PME,"Sentry Prime Metal A"
PHYS.U,"Sprott Phy Gld Un US"
PSLV.U,"Sprott Phy Silver US"
PUB.UN,"US Bnk Incm&Gro T Un"
QXM,"1stAsst MornstrNBkQC"
QQC.F,"PowrShares QQQ CA$Hg"
QCD,"QuantShr EnhCoreCAEq"
QEM,"QuantShr CoreEmrgMkt"
QIE,"QuantShr CoreIntl Eq"
QUS,"QuantShrs Core US Eq"
QGL,"QuantShr GlblEqtyRot"
QMA,"QuantShr MultAstAloc"
QMY,"QuantShr MultAstIncm"
QTRH,"Quarterhill Inc."
QBR.A,"Quebecor Inc Cl A MV"
QBR.B,"Quebecor Inc Cl B SV"
QEC,"Questerre Corp. J"
QCP,"Questrade FxdIncm+Un"
QGE,"Questrade GloblEq Un"
QRD,"QuestrdRs1000USCnsmr"
QRH,"Quest Rs1000USHealth"
QRI,"Quest Rs1000USIndust"
QRT,"Questr Rs1000US Tech"
QMG,"Questrade RusUS MdGr"
QMV,"Questrade RusUS MdVl"
QSR,"Restaurant Brnd Intl"
QSP.UN,"Restaurant BrndLP Un"
RGX,"Argex Titanium Inc J"
RBN.UN,"Blue Ribbon Incm Un"
RIGP.UN,"Cdn Invest GrdPref T"
REF.UN,"Cdn Real Estate Un"
RTU.UN,"Cdn Resources Tr Un"
